SampleID,Disease,UMAP1,UMAP2,UMAP3
CRR_001,CRR,6.783517,6.0061173,6.7118506
CRR_002,CRR,6.7535086,5.966535,6.679088
CRR_003,CRR,5.259646,6.9421406,6.1084685
CRR_004,CRR,5.2429414,6.9394627,6.1200233
CRR_005,CRR,4.771327,6.644123,6.077233
CRR_006,CRR,4.8510504,6.6197214,6.12626
CRR_007,CRR,5.2811356,6.8536744,5.884411
CRR_008,CRR,5.652791,6.698863,6.1657424
CRR_009,CRR,6.9686913,5.528592,6.576468
CRR_0010,CRR,6.8485456,5.146356,6.8198113
CRR_011,CRR,4.599852,5.90644,6.37708
CRR_012,CRR,4.657074,5.842098,6.5094256
CRR_013,CRR,4.72625,6.4852185,7.0112133
CRR_014,CRR,5.228775,5.7271357,8.038237
CRR_015,CRR,5.727989,6.427108,6.6129293
CRR_016,CRR,6.672939,6.1043196,6.7072024
CRR_017,CRR,5.4552336,6.4661546,6.697159
CRR_018,CRR,5.3077555,6.412259,6.8182793
CRR_019,CRR,4.799071,6.176179,6.4936776
CRR_020,CRR,4.9631476,6.1279144,6.7207904
CRR_021,CRR,6.1500993,6.398925,6.7597647
CRR_022,CRR,6.1917086,6.381434,6.883124
CRR_023,CRR,6.680279,5.826258,6.5814004
CRR_024,CRR,6.6319847,5.5983157,6.657897
CRR_025,CRR,6.836337,5.708937,6.4854794
CRR_026,CRR,6.800796,5.3170705,6.7513614
CRR_027,CRR,5.408086,6.116383,6.555086
CRR_028,CRR,5.5142884,6.032081,6.7464776
CRR_029,CRR,5.6762934,6.3640504,6.7693887
CRR_030,CRR,6.5075035,5.96001,6.78556
CRR_031,CRR,6.804064,6.030318,6.534867
CRR_032,CRR,6.8448067,5.890601,6.6507125
CRR_033,CRR,6.885216,5.924788,6.585104
CRR_034,CRR,6.8556066,5.9044576,6.632479
CRR_035,CRR,6.4106655,6.1042595,7.049653
CRR_036,CRR,6.2024717,5.92419,7.4454937
CRR_037,CRR,6.2236524,5.7440944,7.354621
CRR_038,CRR,6.3313313,5.5875525,7.3991766
CRR_039,CRR,5.461393,6.167323,6.9554296
CRR_040,CRR,5.5807223,6.0247054,7.285574
CRR_041,CRR,5.3071275,5.9762897,6.581036
CRR_042,CRR,5.3179426,5.738016,6.6603947
CRR_043,CRR,5.329289,6.034235,8.027503
CRR_044,CRR,5.2954254,5.9182177,8.111587
CRR_045,CRR,4.4260926,6.991479,6.4543676
CRR_046,CRR,1.6881495,8.016315,11.996638
CRR_047,CRR,5.109967,5.8098407,6.420101
CRR_048,CRR,5.1009517,5.7777586,6.4240727
CRR_049,CRR,6.0078073,6.020174,7.4582543
CRR_050,CRR,5.8167624,5.8114405,7.5528727
CRR_051,CRR,7.0602784,5.453622,6.910037
CRR_052,CRR,7.030946,5.302337,7.0159526
CRR_053,CRR,6.064825,5.686737,7.036691
CRR_054,CRR,6.047117,5.624373,7.071041
CRR_055,CRR,6.0519233,5.9712877,7.507391
CRR_056,CRR,6.085418,5.9252796,7.7320933
CRR_057,CRR,6.530682,5.240875,7.2831626
CRR_058,CRR,6.428507,5.2176666,7.295942
CRR_059,CRR,6.62267,6.377587,7.3647265
CRR_060,CRR,6.605854,6.3590508,7.337654
CRR_061,CRR,6.6881123,5.668326,6.99139
CRR_062,CRR,6.6244125,5.6451807,7.1294155
CRR_063,CRR,5.9560676,5.29661,7.0476394
CRR_064,CRR,6.0456533,5.1900563,7.10733
CRR_065,CRR,5.33787,5.3682847,6.5858965
CRR_066,CRR,5.3996983,5.3454537,6.6270113
CRR_067,CRR,6.3193555,5.8951964,7.6760974
CRR_068,CRR,6.3541203,5.783673,7.7356577
CRR_069,CRR,5.0966415,5.783725,7.712341
CRR_070,CRR,5.169065,5.7802243,7.8561745
CRR_071,CRR,5.1911426,5.7717776,7.3882923
CRR_072,CRR,5.404979,5.654284,7.466775
CRR_073,CRR,6.866621,5.622151,6.9709477
CRR_074,CRR,6.8904343,5.4051113,6.9768586
CRR_075,CRR,6.943167,6.0774817,6.8061504
CRR_076,CRR,7.014729,6.056992,6.783188
CRR_077,CRR,6.0172496,6.0569515,7.64466
CRR_078,CRR,6.033085,5.940262,7.782099
CRR_079,CRR,6.8150706,5.034971,6.987193
CRR_080,CRR,6.744688,4.939643,7.072371
CRR_081,CRR,5.153149,5.6235385,8.032804
CRR_082,CRR,5.314089,5.73266,8.096904
CRR_083,CRR,6.0566607,5.1055846,7.40287
CRR_084,CRR,6.237496,5.1975145,7.378206
CRR_085,CRR,5.104056,4.775433,7.7284436
CRR_086,CRR,5.235037,4.850613,7.84453
